Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:19 PM   10   23.47    0.00   12.24    0.00    0.00   61.22    0.00    0.00    0.00    3.06
04:18:19 PM   11   30.61    0.00   11.22    0.00    0.00   56.12    0.00    0.00    0.00    2.04
04:18:19 PM   12    3.03    1.01   14.14    0.00    1.01   77.78    0.00    0.00    0.00    3.03
04:18:19 PM   13    2.00    1.00   15.00    0.00    0.00   76.00    0.00    0.00    0.00    6.00
04:18:19 PM   14    1.00    0.00   14.00    0.00    1.00   81.00    0.00    0.00    0.00    3.00
04:18:19 PM   15    1.96    0.00   14.71    0.00    0.98   79.41    0.00    0.00    0.00    2.94

04:18:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:20 PM  all    7.10    0.06   14.33    0.00    0.37   74.77    0.00    0.00    0.00    3.36
04:18:20 PM    0    0.98    0.00   14.71    0.00    0.98   78.43    0.00    0.00    0.00    4.90
04:18:20 PM    1    0.99    0.00   14.85    0.00    0.99   79.21    0.00    0.00    0.00    3.96
04:18:20 PM    2    0.99    0.00   13.86    0.00    0.00   82.18    0.00    0.00    0.00    2.97
04:18:20 PM    3    0.99    0.00   14.85    0.00    0.99   81.19    0.00    0.00    0.00    1.98
04:18:20 PM    4    2.00    0.00   15.00    0.00    1.00   79.00    0.00    0.00    0.00    3.00
04:18:20 PM    5   11.00    0.00   14.00    0.00    0.00   72.00    0.00    0.00    0.00    3.00
04:18:20 PM    6    1.00    0.00   16.00    0.00    0.00   80.00    0.00    0.00    0.00    3.00
04:18:20 PM    7    3.00    0.00   15.00    0.00    0.00   79.00    0.00    0.00    0.00    3.00
04:18:20 PM    8    1.00    0.00   16.00    0.00    0.00   80.00    0.00    0.00    0.00    3.00
04:18:20 PM    9    2.02    0.00   15.15    0.00    0.00   80.81    0.00    0.00    0.00    2.02
04:18:20 PM   10   18.63    0.98   13.73    0.00    0.98   63.73    0.00    0.00    0.00    1.96
04:18:20 PM   11   37.00    0.00   11.00    0.00    1.00   50.00    0.00    0.00    0.00    1.00
04:18:20 PM   12    1.00    0.00   14.00    0.00    0.00   78.00    0.00    0.00    0.00    7.00
04:18:20 PM   13    1.01    0.00   14.14    0.00    0.00   77.78    0.00    0.00    0.00    7.07
04:18:20 PM   14    0.99    0.00   15.84    0.00    0.00   79.21    0.00    0.00    0.00    3.96
04:18:20 PM   15   31.31    0.00   11.11    0.00    0.00   55.56    0.00    0.00    0.00    2.02

04:18:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:21 PM  all    7.42    0.06   15.21    0.00    0.62   73.13    0.00    0.00    0.00    3.55
04:18:21 PM    0    2.02    0.00   14.14    0.00    0.00   80.81    0.00    0.00    0.00    3.03
04:18:21 PM    1    1.01    0.00   16.16    0.00    0.00   78.79    0.00    0.00    0.00    4.04
04:18:21 PM    2    6.00    0.00   14.00    0.00    1.00   75.00    0.00    0.00    0.00    4.00
04:18:21 PM    3    1.02    0.00   16.33    0.00    0.00   79.59    0.00    0.00    0.00    3.06
04:18:21 PM    4   11.00    0.00   15.00    0.00    0.00   68.00    0.00    0.00    0.00    6.00
04:18:21 PM    5   21.00    0.00   15.00    0.00    1.00   59.00    0.00    0.00    0.00    4.00
04:18:21 PM    6    7.92    0.00   17.82    0.00    0.99   70.30    0.00    0.00    0.00    2.97
04:18:21 PM    7   49.00    0.00   10.00    0.00    1.00   38.00    0.00    0.00    0.00    2.00
04:18:21 PM    8    0.99    0.00   14.85    0.00    0.99   80.20    0.00    0.00    0.00    2.97
04:18:21 PM    9    0.99    0.00   15.84    0.00    0.00   80.20    0.00    0.00    0.00    2.97
04:18:21 PM   10    5.94    0.99   16.83    0.00    0.99   71.29    0.00    0.00    0.00    3.96
04:18:21 PM   11    1.00    0.00   14.00    0.00    0.00   78.00    0.00    0.00    0.00    7.00
